[-2146001992, -2145915593]
[-2114465992, -2114379593]
[-2082929992, -2082843593]
[-2051307592, -2051221193]
[-2019771592, -2019685193]
[-1988235592, -1988149193]
[-1956699592, -1956613193]
[-1925077192, -1924990793]
[-1893541192, -1893454793]
[-1862005192, -1861918793]
[-1830469192, -1830382793]
[-1798846792, -1798760393]
[-1767310792, -1767224393]
[-1735774792, -1735688393]
[-1704238792, -1704152393]
[-1672616392, -1672529993]
[-1641080392, -1640993993]
[-1609544392, -1609457993]
[-1578008392, -1577921993]
[-1546385992, -1546299593]
[-1514851200, -1514764801]
[-1483315200, -1483228801]
[-1451779200, -1451692801]
[-1420156800, -1420070401]
[-1388620800, -1388534401]
[-1357084800, -1356998401]
[-1325548800, -1325462401]
[-1293926400, -1293840001]
[-1262390400, -1262304001]
[-1230854400, -1230768001]
[-1199318400, -1199232001]
[-1167696000, -1167609601]
[-1136160000, -1136073601]
[-1104624000, -1104537601]
[-1073088000, -1073001601]
[-1041465600, -1041379201]
[-1009929600, -1009843201]
[-978393600, -978307201]
[-946857600, -946771201]
[-915235200, -915148801]
[-883699200, -883612801]
[-852163200, -852076801]
[-820627200, -820540801]
[-789004800, -788918401]
[-757468800, -757382401]
[-725932800, -725846401]
[-694396800, -694310401]
[-662774400, -662688001]
[-631238400, -631152001]
[-599702400, -599616001]
[-568166400, -568080001]
[-536544000, -536457601]
[-505008000, -504921601]
[-473472000, -473385601]
[-441936000, -441849601]
[-410313600, -410227201]
[-378777600, -378691201]
[-347241600, -347155201]
[-315705600, -315619201]
[-284083200, -283996801]
[-252547200, -252460801]
[-221011200, -220924801]
[-189475200, -189388801]
[-157852800, -157766401]
[-126316800, -126230401]
[-94780800, -94694401]
[-63244800, -63158401]
[-31622400, -31536001]
[-86400, -1]
[+31449600, +31535999]
[+62985600, +63071999]
[+94608000, +94694399]
[+126144000, +126230399]
[+157680000, +157766399]
[+189216000, +189302399]
[+220838400, +220924799]
[+252374400, +252460799]
[+283910400, +283996799]
[+315446400, +315532799]
[+347068800, +347155199]
[+378604800, +378691199]
[+410140800, +410227199]
[+441676800, +441763199]
[+473299200, +473385599]
[+504835200, +504921599]
[+536371200, +536457599]
[+567907200, +567993599]
[+599529600, +599615999]
[+631065600, +631151999]
[+662601600, +662687999]
[+694137600, +694223999]
[+725760000, +725846399]
[+757296000, +757382399]
[+788832000, +788918399]
[+820368000, +820454399]
[+851990400, +852076799]
[+883526400, +883612799]
[+915062400, +915148799]
[+946598400, +946684799]
[+978220800, +978307199]
[+1009756800, +1009843199]
[+1041292800, +1041379199]
[+1072828800, +1072915199]
[+1104451200, +1104537599]
[+1135987200, +1136073599]
[+1167523200, +1167609599]
[+1199059200, +1199145599]
[+1230681600, +1230767999]
[+1262217600, +1262303999]
[+1293753600, +1293839999]
[+1325289600, +1325375999]
[+1356912000, +1356998399]
[+1388448000, +1388534399]
[+1419984000, +1420070399]
[+1451520000, +1451606399]
[+1483142400, +1483228799]
[+1514678400, +1514764799]
[+1546214400, +1546300799]
[+1577750400, +1577836799]
[+1609372800, +1609459199]
[+1640908800, +1640995199]
[+1672444800, +1672531199]
[+1703980800, +1704067199]
[+1735603200, +1735689599]
[+1767139200, +1767225599]
[+1798675200, +1798761599]
[+1830211200, +1830297599]
[+1861833600, +1861919999]
[+1893369600, +1893455999]
[+1924905600, +1924991999]
[+1956441600, +1956527999]
[+1988064000, +1988150399]
[+2019600000, +2019686399]
[+2051136000, +2051222399]
[+2082672000, +2082758399]
[+2114294400, +2114380799]
[+2145830400, +2145916799]
